Setting,year,potato_area,first5_sum,last5_sum,growth,std_dev,cagr
Barda district,2015,228.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2015,136.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2015,167.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2015,15.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2015,4.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2015,571.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2015,26948.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2015,608.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2015,11890.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2015,327.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2015,6455.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2015,7668.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2015,4332.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2015,1038.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2015,1158.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2015,1990.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2015,27.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2015,119.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2015,9324.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2015,1351.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2015,3900.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2015,1297.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2015,576.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2015,1282.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2015,918.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2015,2807.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2015,7.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2015,670.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2015,155.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2015,1214.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2015,413.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2015,232.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2015,116.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2015,2440.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2015,382.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2015,270.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2015,461.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2015,1327.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2015,4929.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2015,887.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2015,290.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2015,1159.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2015,324.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2015,729.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2015,1540.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2015,27.3,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2015,27.0,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2015,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2015,0.3,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2015,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2015,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2015,740.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2015,5.0,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2015,161.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2015,39.0,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2015,114.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2015,421.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2016,62791.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2016,18.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2016,3053.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2016,31.0,0.0,148.0,148.0,7.338957290899509,
Babak district,2016,450.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2016,460.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2016,216.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2016,575.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2016,98.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2016,463.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2016,760.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2016,63.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2016,2.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2016,12.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2016,49.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2016,1849.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2016,152.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2016,894.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2016,110.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2016,693.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2016,3177.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2016,13.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2016,2.0,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2016,1232.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2016,694.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2016,1040.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2016,196.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2016,1664.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2016,,0.0,0.0,0.0,,
Aghjabadi district,2016,186.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2016,452.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2016,,0.0,0.0,0.0,,
Barda district,2016,180.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2016,141.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2016,149.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2016,17.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2016,5.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2016,534.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2016,27986.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2016,660.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2016,12200.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2016,433.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2016,6497.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2016,8196.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2016,4436.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2016,950.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2016,1084.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2016,2246.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2016,38.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2016,118.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2016,9968.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2016,1362.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2016,4653.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2016,1463.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2016,592.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2016,1044.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2016,854.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2016,2481.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2016,5.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2016,240.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2016,157.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2016,1217.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2016,422.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2016,245.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2016,195.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2016,2388.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2016,384.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2016,232.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2016,445.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2016,1327.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2016,4977.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2016,905.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2016,389.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2016,1054.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2016,328.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2016,760.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2016,1541.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2016,28.3,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2016,28.0,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2016,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2016,0.3,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2016,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2016,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2016,703.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2016,5.0,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2016,121.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2016,40.0,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2016,114.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2016,423.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2017,58772.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2017,19.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2017,3183.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2017,32.0,0.0,148.0,148.0,7.338957290899509,
Babak district,2017,476.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2017,275.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2017,234.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2017,576.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2017,102.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2017,424.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2017,1064.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2017,42.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2017,2.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2017,12.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2017,28.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2017,1482.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2017,168.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2017,917.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2017,129.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2017,268.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2017,2351.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2017,11.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2017,1.0,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2017,1308.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2017,315.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2017,582.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2017,134.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2017,1472.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2017,,0.0,0.0,0.0,,
Aghjabadi district,2017,176.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2017,348.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2017,,0.0,0.0,0.0,,
Barda district,2017,168.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2017,145.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2017,107.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2017,26.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2017,4.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2017,498.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2017,27153.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2017,517.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2017,11963.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2017,809.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2017,6489.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2017,7375.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2017,4280.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2017,806.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2017,1135.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2017,2176.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2017,26.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2017,137.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2017,9240.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2017,1254.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2017,4200.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2017,1377.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2017,579.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2017,940.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2017,890.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2017,2313.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2017,5.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2017,208.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2017,156.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2017,1119.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2017,404.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2017,221.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
